"","_id.position","_id.week_start","_id.week_end","_id.track","_id.artist","_id.reproductions","_id.track_url","position","week_start","week_end","reproductions","track_url","url","name","artist","album_id","album","number","snd_preview","disc_number","album_release_date","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","explicit","tempo","time_signature","duration_ms","key","mode"
"1",28,2019-03-08,2019-03-15,Please Me,Cardi B,13703398,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,28,"2019-03-08","2019-03-15",13703398,"https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN","https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN","Please Me","Bruno Mars","5a4sJJ3qjn6hqRsvm0Veso","Please Me", 1,"https://p.scdn.co/mp3-preview/a25d43f3262e07622ba8876b10d7a56d069eea05?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2019-02-15",0.747,0.5700, -6.711,0.0810,0.064200,0.00e+00,0.0832,0.6500,TRUE,133.992,4,200889,"C#","major"
"2",39,2018-12-14,2018-12-21,BAD!,XXXTENTACION,11392348,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,39,"2018-12-14","2018-12-21",11392348,"https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ","https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ","BAD!","XXXTENTACION","1qsQOC4Jn0fnaUZLAbs4dz","SKINS", 5,"https://p.scdn.co/mp3-preview/83d6b6585c891a5e19680d3419279e8b7fa2d157?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2018-12-07",0.780,0.4920, -3.400,0.0671,0.064300,3.13e-02,0.1740,0.3740,FALSE,143.983,4, 94245,"F","minor"
"3",38,2018-09-07,2018-09-14,No Es Justo,J Balvin,11109048,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,38,"2018-09-07","2018-09-14",11109048,"https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7","https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7","No Es Justo","J Balvin","5kprdYds6oZb4iSldfflOT","Vibras", 5,NA, 1,"2018-05-25",0.684,0.8110, -4.494,0.0714,0.161000,3.63e-04,0.0871,0.7210,FALSE, 87.866,4,250840,"G","major"
"4",34,2019-02-08,2019-02-15,Look Back at It,A Boogie Wit da Hoodie,14244278,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,34,"2019-02-08","2019-02-15",14244278,"https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8","https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8","Look Back at It","A Boogie Wit da Hoodie","3r5hf3Cj3EMh1C2saQ8jyt","Hoodie SZN",11,"https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2018-12-21",0.791,0.5870, -5.075,0.0413,0.407000,0.00e+00,0.1480,0.5360,TRUE, 96.057,4,179449,"D#","minor"
"5",21,2020-04-17,2020-04-24,Boss Bitch,Doja Cat,15706304,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,21,"2020-04-17","2020-04-24",15706304,"https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k","https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k","Boss Bitch","Doja Cat","4pmyFpGicLLIgNPc1TQXKc","Boss Bitch", 1,"https://p.scdn.co/mp3-preview/42847ffa3c83fcfce624d09a8d3d39a15d53e199?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2020-01-23",0.707,0.9550, -4.593,0.2220,0.127000,0.00e+00,0.2020,0.5750,FALSE,125.989,4,134239,"A#","minor"
"6", 2,2018-05-18,2018-05-25,One Kiss (with Dua Lipa),Calvin Harris,27907952,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6, 2,"2018-05-18","2018-05-25",27907952,"https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","One Kiss (with Dua Lipa)","Calvin Harris","7GEzhoTiqcPYkOprWQu581","One Kiss (with Dua Lipa)", 1,"https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2018-04-06",0.791,0.8620, -3.240,0.1100,0.037000,2.19e-05,0.0814,0.5920,FALSE,123.994,4,214846,"A","minor"
"7",50,2020-01-31,2020-02-07,Good News,Mac Miller,10502618,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY,50,"2020-01-31","2020-02-07",10502618,"https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY","https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY","Good News","Mac Miller","5sY6UIQ32GqwMLAfSNEaXb","Circles", 4,"https://p.scdn.co/mp3-preview/82d28d6eb7f77b2fb4e51e0fcc0fa76d71edaff4?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2020-01-17",0.794,0.3200,-12.920,0.1730,0.853000,1.34e-01,0.1120,0.2410,FALSE,174.088,4,342040,"C#","minor"
"8",31,2020-07-31,2020-08-07,POPSTAR (feat. Drake),DJ Khaled,13109435,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,31,"2020-07-31","2020-08-07",13109435,"https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq","https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq","POPSTAR (feat. Drake)","DJ Khaled","5nNtpPsSUgb9Hlb3dF1gXa","POPSTAR (feat. Drake)", 1,"https://p.scdn.co/mp3-preview/f06dde25172503546a3b136fba9822a89866a2d3?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2020-07-17",0.800,0.5600, -4.818,0.2610,0.057000,0.00e+00,0.1340,0.4500,TRUE,163.071,4,200221,"F","minor"
"9",44,2020-11-20,2020-11-27,Laugh Now Cry Later (feat. Lil Durk),Drake,11922198,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,44,"2020-11-20","2020-11-27",11922198,"https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI","https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI","Laugh Now Cry Later (feat. Lil Durk)","Drake","0qGdc7fNq9RNIPEzZufa43","Laugh Now Cry Later (feat. Lil Durk)", 1,NA, 1,"2020-08-14",0.761,0.5180, -8.871,0.1340,0.244000,3.47e-05,0.1070,0.5220,TRUE,133.976,4,261492,"C","major"
"10",38,2018-06-22,2018-06-29,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,11187748,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,38,"2018-06-22","2018-06-29",11187748,"https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z","https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z","Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","3MATDdrpHmQCmuOcozZjDa","TESTING", 5,"https://p.scdn.co/mp3-preview/a515fa169153249641255877d5a36af261cf0d7c?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2018-05-25",0.854,0.5690, -8.151,0.1060,0.060900,8.16e-02,0.1000,0.2940,TRUE, 80.015,4,205040,"F","minor"
